Ch	Time	ch[0]	ch[1]	ch[2]	ch[3]	ch[4]	ch[5]	ch[6]	ch[7]	ch[8]	ch[9]	ch[10]	ch[11]	ch[12]	ch[13]	ch[14]	ch[15]
ch1:	11:59:57	-4.95	-5.1	-3.3	6.8	23.15	30.25	25.45	9.3	-15.7	-32.85	-26.55	-3.15	19.4	31.2	31.55	20.45
ch1:	11:59:57	7	-6.2	-20.75	-24.2	-7.95	12.3	31.1	44.2	36.15	14.65	0.85	-11.05	-21.05	-20.7	-7.05	16.3
ch1:	11:59:57	31.85	27.7	15.05	-2.25	-20.35	-29.2	-32.3	-28.25	-9.55	14.1	31.1	33.7	16.2	-10.7	-28.75	-36.7
ch1:	11:59:57	-35.7	-20.65	4.45	25.05	30.6	20.7	2.9	-16.8	-29.8	-31.1	-21.1	-1.95	18.4	31.05	33.95	28.8
ch1:	11:59:57	7.65	-24.55	-43.55	-36.55	-12.5	18.4	42.95	48.25	34.25	14.05	-3.65	-15.05	-14.05	2.55	27.3	45.95
ch1:	11:59:57	43.75	28.25	21.5	19.45	8.4	-1.45	-3.1	-0.3	11.6	28.05	32.85	25.65	8.75	-7.25	-4.25	9.5
ch1:	11:59:57	11.2	10.95	25.85	40.65	31.7	12.1	5.85	10.9	18.75	21.95	12.5	3.2	6.15	16.55	34.9	48.1
ch1:	11:59:57	41.3	27.45	10.95	-3	5.25	17.1	11.2	6.3	9.15	14.2	23.95	22.9	6.85	-6.95	-12.15	-6.7
ch1:	11:59:57	7.15	18.55	23.4	17.15	6.35	8.4	10.9	-3.35	-15.05	-8.35	8.3	21.15	24.8	27.15	35.55	34.6
ch1:	11:59:57	17.4	-0.95	-11.3	-13.3	-3.95	12.3	27.25	34.7	33.7	27.55	12.4	-11.75	-24.05	-15.05	3.5	23.3
ch1:	11:59:57	40.25	49.75	52.05	43.7	23.65	1.25	-16.5	-19.45	-4.5	12.55	20.75	22.65	19.85	12.9	6.7	-0.45
ch1:	11:59:57	-8.1	-6.25	9.95	23.15	21	12.5	9.85	13.45	14.55	8	5.45	11.25	16.35	19.6	21.9	22.2
ch1:	11:59:57	20.95	11.85	2.05	6.9	16.7	20.9	25.6	32.6	37.95	30.1	1.15	-19.05	-6.5	19.8	39.9	42.8
ch1:	11:59:57	30.55	18.2	10.4	-0.6	-8.8	-4.75	12.3	34.2	44.05	34.45	11.65	-13.4	-25.85	-18.2	-1.2	9.95
ch1:	11:59:57	16.2	25.75	31.35	26.35	16.4	-2.05	-35.5	-62.7	-61	-35.15	-6.4	11.6	17.1	11.8	-0.8	-17.75
ch1:	11:59:57	-44.15	-78.8	-91.45	-63.45	-17.35	19.9	38.95	39.95	33.8	15.15	-26.55	-59.2	-57.1	-41.65	-21.4	6.7
ch1:	11:59:57	31.75	47.55	41.05	9.4	-17.05	-22.05	-12.45	10.95	39.45	58.8	63.35	54	38.8	17	-6.45	-12.3
ch1:	11:59:57	-0.65	17.8	39.7	52.6	48.1	25.6	-6.65	-23.45	-18.75	-10.55	3.45	23.85	33.75	40.15	44.95	35.4
ch1:	11:59:57	17	-8.45	-54.4	-94.25	-88.4	-44.65	-1.6	25.7	39.55	41.1	33.7	19.4	-14.25	-56.45	-80.35	-76.65
ch1:	11:59:57	-56.2	-32.6	-12.4	11.8	28.95	30.65	18.95	-21.45	-80.1	-108.65	-97.15	-61.7	-19.25	16.75	43.75	59.15
ch1:	11:59:57	56.5	32.65	-28.25	-92.2	-102.4	-65.85	-22.75	18.5	49.3	62.75	60.6	53.6	32.85	-23.85	-96.85	-130.45
ch1:	11:59:57	-119.05	-83.35	-32.5	19.95	50.7	48.95	19.85	-22.85	-71.9	-106.15	-102.55	-62.3	-12.05	26.95	51.3	71.4
ch1:	11:59:57	76.2	47.8	-11.7	-65.1	-82.35	-66.65	-30.15	24.45	75.1	96.15	85.9	50.6	1.55	-36.9	-47.05	-31.35
ch1:	11:59:57	-6.35	18.95	45.3	63.25	64.1	59.15	45.1	9.15	-40.45	-77.6	-84.65	-54.55	-2.1	40.5	51.3	34.3
ch1:	12:00:00	37.15	12.55	-1.1	-2.1	7.55	17.55	22.2	29.55	40.85	46.85	43.8	36.85	28.75	16.6	3.2	-1.2
ch1:	12:00:00	8.05	26.75	47.75	57.75	39.6	7.3	-8.05	2.35	21.5	37.25	43.15	41.45	30.95	12.6	-0.75	1.75
ch1:	12:00:00	9.2	12.5	19.1	32.95	42.9	38.85	25.55	9.6	-4	-9.65	-6.75	3.25	21	39.85	46.85	28.9
ch1:	12:00:00	-11.7	-38.15	-23.4	9.6	26.95	26.2	19.95	15.1	0.8	-24.7	-44.75	-47.4	-41.2	-30.2	-11.55	15.75
ch1:	12:00:00	39.05	44.75	34.4	7.5	-35.65	-68.25	-68.1	-44.85	-17.3	5.75	17.6	18.55	16.25	14.2	-1.85	-29.3
ch1:	12:00:00	-41.9	-36.5	-35.45	-40.75	-42.9	-38.45	-22.75	0.05	10.15	4.65	-10	-32.95	-56.1	-65.15	-60.85	-44.45
ch1:	12:00:00	-14.65	20.15	46.95	52.5	27.85	-10.9	-36.75	-40.45	-20	16.85	46.4	55.1	43.3	17.85	-12.1	-40.55
ch1:	12:00:00	-54.15	-39.4	-5.35	26.45	40.3	34.4	16.8	-6.3	-23.55	-19.6	-8.3	-3.25	4.8	19.35	30.55	30.95
ch1:	12:00:00	21.05	8.35	-13.85	-46.2	-51.7	-22.9	5.25	17.3	18.5	16.4	18.5	17.45	8.4	-1.3	-11.4	-21.25
ch1:	12:00:00	-26	-23.8	-7.1	16.15	31.65	40.35	37.7	23.55	13	4.65	-10.55	-19.25	-11.65	9	31.75	43.85
ch1:	12:00:00	43.8	32.3	15.3	2.55	-3.05	-3	6.2	20.95	34	34.35	23.65	18.15	18.85	13.15	10.25	19.15
ch1:	12:00:00	26.8	24.65	18.75	12.4	8.55	14.45	27.6	37.85	42.05	41.5	34.95	21.5	9	9.8	20.1	26.45
ch1:	12:00:00	29.75	37.8	46.15	45.9	33.7	17.3	11.5	16.15	23.05	28.7	31.1	31.2	28.35	17.85	2.35	-5.8
ch1:	12:00:00	0.85	11.6	11.5	10.8	20.7	28.25	29.2	25.05	8.6	-5.1	2.5	18.2	29.5	34	27.65	18.35
ch1:	12:00:00	16.5	22.05	27.35	22.5	11.45	1.9	-8.9	-19.6	-16.3	9.05	41.85	59.9	61.5	47.85	14	-23.05
ch1:	12:00:00	-40.85	-40.15	-28.55	-7.75	17.8	41.35	56.9	60.3	41.65	1.85	-37.45	-59.15	-69.7	-72.5	-61.05	-34.9
ch1:	12:00:00	-7.8	6.45	5.6	-10.55	-38.95	-70.1	-96.6	-105.4	-87.4	-51	-13.25	13.8	28.1	33.55	27.7	13.5
ch1:	12:00:00	1.25	-11.55	-25.6	-31.1	-25.65	-14.5	1.85	28.8	57.75	58.9	18.3	-35.35	-67	-60.35	-21.4	25.65
ch1:	12:00:00	58.55	76.3	77.9	51.75	4.95	-29.8	-38.55	-27.95	-4.4	21.65	41.15	53.95	51.7	26.8	-4.6	-17.9
ch1:	12:00:00	-17.2	-18.4	-13.8	9.25	31.1	34.35	26.45	11.7	-5	-12.05	-15.25	-18.55	-13.75	-2.7	11.3	29.55
ch1:	12:00:00	39.25	30.15	9	-11.2	-19.8	-12.5	6.2	28.35	45.5	50.2	42.1	26.15	10.75	4.65	13.8	36.25
